50,Masquerain,"South Province Area One, South Province Area Five
Tera Raid Battles: 4 Star Raid Battles"
51,Buizel,"East Paldean Sea, East Province Area Two, East Province Area Three, South Paldean Sea, South Province Area One, South Province Area Two, South Province Area Four, South Province Area Five, Tagtree Thicket, West Paldean Sea, West Province Area One, West Province Area Two
Static: West Province Area One
Tera Raid Battles: 2 Star Raid Battles"
52,Floatzel,"East Paldean Sea, Glaseado Mountain, North Paldean Sea, South Paldean Sea, West Paldean Sea, West Province Area Two, West Province Area Three
Tera Raid Battles: 4 Star Raid Battles"
53,Wooper,"South Province Area One, South Province Area Two, South Province Area Four, South Province Area Five
Static: South Province Area One
Tera Raid Battles: 1 Star Raid Battles"
54,Clodsire,"East Province Area Three, Glaseado Mountain, North Province Area One, South Province Area Five, South Province Area Six, West Province Area Three
Tera Raid Battles: 4 Star Raid Battles, 6 Star Raid Battles"
55,Psyduck,"Casseroya Lake, East Province Area Two, East Province Area Three, Glaseado Mountain, South Province Area One, South Province Area Four, South Province Area Five, South Province Area Six, Tagtree Thicket, West Province Area One, West Province Area Two
Tera Raid Battles: 2 Star Raid Battles"
56,Golduck,"Area Zero, Casseroya Lake, Glaseado Mountain, North Province Area One, North Province Area Three
Static: South Province Area Four, South Province Area Six
Tera Raid Battles: 4 Star Raid Battles"
57,Chewtle,"East Province Area Two, East Province Area Three, South Province Area One, South Province Area Two, South Province Area Four, South Province Area Five, West Province Area One, West Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
58,Drednaw,"Casseroya Lake, East Province Area Two, East Province Area Three, Glaseado Mountain, South Province Area Five, South Province Area Six, West Province Area Two
Static: Casseroya Lake
Tera Raid Battles: 4 Star Raid Battles"
59,Igglybuff,"Pokemon League, South Province Area One, South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
60,Jigglypuff,"South Province Area Two, West Province Area Three
Static: South Province Area Three
Tera Raid Battles: 2 Star Raid Battles"
61,Wigglytuff,"North Province Area One
Tera Raid Battles: 4 Star Raid Battles"
62,Ralts,"South Province Area One
Static: South Province Area One
Tera Raid Battles: 1 Star Raid Battles"
63,Kirlia,"Cortondo, Dalizapa Passage, East Province Area Two
Static: East Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
64,Gardevoir,"Glaseado Mountain
Static: Glaseado Mountain
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
65,Gallade,"Alfornada Cavern, Dalizapa Passage, Glaseado Mountain, North Province Area One
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
66,Drowzee,"South Province Area Two, South Province Area Three, South Province Area Five
Tera Raid Battles: 1 Star Raid Battles"
67,Hypno,"Dalizapa Passage, North Province Area Three, South Province Area Six, West Province Area One
Tera Raid Battles: 4 Star Raid Battles"
68,Gastly,"East Province Area Two, East Province Area Three, South Province Area One, South Province Area Three, West Province Area One
Tera Raid Battles: 2 Star Raid Battles"
69,Haunter,"Dalizapa Passage, Glaseado Mountain, North Province Area One
Static: West Province Area One
Tera Raid Battles: 3 Star Raid Battles"
70,Gengar,"Evolve Haunter
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
71,Tandemaus,"East Province Area One, East Province Area Two, East Province Area Three, Pokemon League, West Province Area Two, West Province Area Three
Static: Pokemon League, West Province Area Three
Tera Raid Battles: 2 Star Raid Battles"
72,Maushold,"Evolve Tandemaus
Tera Raid Battles: 4 Star Raid Battles, 6 Star Raid Battles"
73,Pichu,"South Province Area One, South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
74,Pikachu,"East Province Area One, South Province Area Two, South Province Area Four, West Province Area Three
Static: South Province Area Two
Tera Raid Battles: 2 Star Raid Battles, 3 Star Raid Battles"
75,Raichu,"Area Zero, Socarrat Trail
Static: West Province Area Two
Tera Raid Battles: 4 Star Raid Battles, 5 Star Raid Battles"
76,Fidough,"South Province Area One, South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
77,Dachsbun,"East Province Area Three, South Province Area Six, West Province Area Three
Tera Raid Battles: 4 Star Raid Battles, 6 Star Raid Battles"
78,Slakoth,"South Province Area One, South Province Area Three, South Province Area Five
Tera Raid Battles: 2 Star Raid Battles"
79,Vigoroth,"Dalizapa Passage, North Province Area One, South Province Area Three, South Province Area Five, West Province Area Three
Tera Raid Battles: 4 Star Raid Battles"
80,Slaking,"North Province Area Two, Socarrat Trail
Static: North Province Area Two
Tera Raid Battles: 5 Star Raid Battles"
81,Bounsweet,"East Province Area One, East Province Area Two, South Province Area One, South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
82,Steenee,"East Province Area One, East Province Area Two
Static: West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
83,Tsareena,"Evolve Steenee
Static: Casseroya Lake
Tera Raid Battles: 5 Star Raid Battles"
84,Smoliv,"South Province Area Two
Static: South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
85,Dolliv,"East Paldean Sea, North Province Area Three, Tagtree Thicket
Tera Raid Battles: 3 Star Raid Battles"
86,Arboliva,"Evolve Dolliv
Tera Raid Battles: 5 Star Raid Battles"
87,Bonsly,"South Province Area One, South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
88,Sudowoodo,"Socarrat Trail, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
89,Rockruff,"East Province Area Two, South Province Area One, South Province Area Four, West Province Area One
Static: West Province Area Three
Tera Raid Battles: 1 Star Raid Battles"
90,Lycanroc,"Midday Form: Alfornada Cavern, Dalizapa Passage, Glaseado Mountain, North Province Area One Midnight Form: Alfornada Cavern, Area Zero, Dalizapa Passage, Glaseado Mountain, North Province Area One, Dusk Form: North Province Area One
Tera Raid Battles: 4 Star Raid Battles, 6 Star Raid Battles"
91,Rolycoly,"East Province Area Three
Tera Raid Battles: 2 Star Raid Battles"
92,Carkol,"East Province Area Three
Static: East Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
93,Coalossal,"Evolve Carkol
Tera Raid Battles: 5 Star Raid Battles"
94,Shinx,"South Province Area Three
Static: South Province Area Five
Tera Raid Battles: 2 Star Raid Battles"
95,Luxio,"South Province Area Three, South Province Area Five
Static: South Province Area Five
Tera Raid Battles: 3 Star Raid Battles"
96,Luxray,"North Province Area Two
Static: South Province Area Five
Tera Raid Battles: 5 Star Raid Battles"
97,Starly,"South Province Area One, South Province Area Two, South Province Area Four
Static: South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
98,Staravia,"South Province Area Four, West Province Area Two, West Province Area Three
Static: South Province Area Two, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
99,Staraptor,"Casseroya Lake
Static: Casseroya Lake, South Province Area Three
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
100,Oricorio,"Baile Style: East Province Area One Pom- Pom Style: South Province Area One
Tera Raid Battles: 4 Star Raid Battles"
101,Mareep,"South Province Area Two
Tera Raid Battles: 2 Star Raid Battles"
102,Flaaffy,"West Province Area Two
Static: South Province Area Four
Tera Raid Battles: 3 Star Raid Battles"
103,Ampharos,"Alfornada Cavern, North Province Area One
Tera Raid Battles: 4 Star Raid Battles"
104,Petilil,"South Province Area Four, West Province Area One
Tera Raid Battles: 1 Star Raid Battles"
105,Lilligant,"North Province Area Three, South Province Area Six
Static: South Province Area Four, West Province Area Three
Tera Raid Battles: 4 Star Raid Battles"
106,Shroomish,"South Province Area Three, South Province Area Five, West Province Area Three
Tera Raid Battles: 1 Star Raid Battles"
107,Breloom,"West Province Area Three
Static: West Province Area Three
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
108,Applin,"East Province Area One, East Province Area Two, South Province Area One, South Province Area Two, Tagtree Thicket, West Province Area Three
Static: East Province Area One
Tera Raid Battles: 1 Star Raid Battles"
109,Flapple,"Evolve Applin
Tera Raid Battles: 5 Star Raid Battles"
110,Appletun,"Evolve Applin
Tera Raid Battles: 5 Star Raid Battles"
111,Spoink,"South Province Area Three
Tera Raid Battles: 2 Star Raid Battles"
112,Grumpig,"Dalizapa Passage, North Province Area One, North Province Area Two
Static: South Province Area Four
Tera Raid Battles: 4 Star Raid Battles"
113,Squawkabilly,"East Province Area One, East Province Area Two, East Province Area Three
Static: West Province Area One
Tera Raid Battles: 4 Star Raid Battles"
114,Misdreavus,"Trade from Violet/Dalizapa Passage, East Province Area Two, Glaseado Mountain, South Province Area One, South Province Area Two, South Province Area Three, South Province Area Four, South Province Area Five, South Province Area Six, Tagtree Thicket, West Province Area One
Tera Raid Battles: 2 Star Raid Battles"
115,Mismagius,"Trade from Violet/Alfornada Cavern, Casseroya Lake, Glaseado Mountain, North Province Area One, North Province Area Two
Tera Raid Battles: 5 Star Raid Battles"
116,Makuhita,"Asado Desert, East Province Area One, East Province Area Two, East Province Area Three, South Province Area One, South Province Area Three, South Province Area Five, West Province Area One
Tera Raid Battles: 1 Star Raid Battles, 3 Star Raid Battles"
117,Hariyama,"Alfornada Cavern, Dalizapa Passage, East Province Area Three, Glaseado Mountain, West Province Area Two, West Province Area Three
Static: East Province Area Three, South Province Area Three, South Province Area Six, West Province Area Two
Tera Raid Battles: 5 Star Raid Battles"
118,Crabrawler,"East Province Area Two, Glaseado Mountain, South Province Area Five, West Province Area One, West Province Area Two
Static: East Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
119,Crabominable,"Glaseado Mountain
Static: East Province Area Two
Tera Raid Battles: 4 Star Raid Battles"
120,Salandit,"Alfornada Cavern, Dalizapa Passage, East Province Area Two, East Province Area Three, Glaseado Mountain, West Province Area One, West Province Area Two
Static: East Province Area One
Tera Raid Battles: 2 Star Raid Battles"
121,Salazzle,"Alfornada Cavern, Dalizapa Passage, North Province Area One, North Province Area Two, North Province Area Three
Static: South Province Area Four"
122,Phanpy,"Asado Desert, South Province Area Two, South Province Area Four, West Province Area One
Static: Asado Desert
Tera Raid Battles: 2 Star Raid Battles"
123,Donphan,"Asado Desert, South Province Area Six, West Province Area Two
Static: Asado Desert
Tera Raid Battles: 4 Star Raid Battles"
124,Cufant,"East Province Area Three
Tera Raid Battles: 2 Star Raid Battles"
125,Copperajah,"Casseroya Lake, Dalizapa Passage, Glaseado Mountain, North Province Area One, North Province Area Two, North Province Area Three
Static: North Province Area Two
Tera Raid Battles: 5 Star Raid Battles"
126,Gible,"Alfornada Cavern, West Province Area One, West Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
127,Gabite,"Alfornada Cavern, Dalizapa Passage, Glaseado Mountain, North Province Area Two
Static: South Province Area Six, West Province Area Two
Tera Raid Battles: 4 Star Raid Battles"
128,Garchomp,"Great Crater of Paldea
Static: Great Crater of Paldea, West Province Area Two
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
129,Nacli,"Asado Desert, East Province Area One, East Province Area Two, East Province Area Three, South Province Area Three, South Province Area Four, South Province Area Five, West Province Area One, West Province Area Two
Static: South Province Area Three
Tera Raid Battles: 1 Star Raid Battles"
130,Naclstack,"Alfornada Cavern, Casseroya Lake, Dalizapa Passage, Glaseado Mountain, North Province Area One, North Province Area Two, North Province Area Three, West Province Area Three
Static: South Province Area Five, West Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
131,Garganacl,"Area Zero
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
132,Wingull,"South Paldean Sea, West Paldean Sea
Tera Raid Battles: 1 Star Raid Battles"
133,Pelipper,"North Paldean Sea, West Paldean Sea
Tera Raid Battles: 3 Star Raid Battles, 6 Star Raid Battles"
134,Magikarp,"Dalizapa Passage, East Paldean Sea, East Province Area Two, East Province Area Three, North Paldean Sea, North Province Area One, South Paldean Sea, South Province Area One, South Province Area Three, South Province Area Four, South Province Area Five, South Province Area Six, Tagtree Thicket, West Paldean Sea, West Province Area Two, West Province Area Three
Tera Raid Battles: 2 Star Raid Battles, 3 Star Raid Battles"
135,Gyarados,"East Paldean Sea, North Paldean Sea, South Paldean Sea, West Paldean Sea
Static: Casseroya Lake
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
136,Arrokuda,"East Paldean Sea, East Province Area Two, East Province Area Three, South Paldean Sea, South Province Area One, South Province Area Five, West Paldean Sea, West Province Area One, West Province Area Two
Tera Raid Battles: 2 Star Raid Battles"
137,Barraskewda,"East Paldean Sea, East Province Area Two, East Province Area Three, Glaseado Mountain, North Paldean Sea, North Province Area One, North Province Area Three, South Paldean Sea, West Paldean Sea, West Province Area Two
Tera Raid Battles: 4 Star Raid Battles"
138,Basculin,"East Province Area Two, East Province Area Three, Glaseado Mountain, South Province Area One, South Province Area Three, South Province Area Four, South Province Area Five, South Province Area Six, West Province Area One, West Province Area Two, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
139,Gulpin,"Trade from Violet/East Province Area One, South Province Area Three
Tera Raid Battles: 2 Star Raid Battles"
140,Swalot,"Trade from Violet/Casseroya Lake
Tera Raid Battles: 4 Star Raid Battles"
141,Meowth,"East Province Area Three, West Province Area Three
Static: South Province Area Two
Tera Raid Battles: 2 Star Raid Battles"
142,Persian,"West Province Area Three
Static: South Province Area Four
Tera Raid Battles: 4 Star Raid Battles"
143,Drifloon,"Dalizapa Passage, East Province Area Two, Glaseado Mountain, South Province Area One, South Province Area Two, South Province Area Three, South Province Area Four, South Province Area Five, South Province Area Six, Tagtree Thicket, West Province Area One
Tera Raid Battles: 2 Star Raid Battles/Trade from Scarlet"
144,Drifblim,"Alfornada Cavern, Cortondo, Dalizapa Passage, Glaseado Mountain, North Province Area One
Tera Raid Battles: 4 Star Raid Battles, 5 Star Raid Battles/Trade from Scarlet"
145,Flabébé,"East Paldean Sea, South Province Area One, South Province Area Four, West Province Area One
Tera Raid Battles: 1 Star Raid Battles"
146,Floette,"East Paldean Sea, North Province Area One, North Province Area Two, North Province Area Three, South Province Area One, South Province Area Four, South Province Area Six, West Province Area One
Static: East Province Area One"
147,Florges,"North Province Area Three
Tera Raid Battles: 5 Star Raid Battles"
148,Diglett,"Alfornada Cavern, Asado Desert, East Province Area Three, Inlet Grotto, South Province Area Two
Static: East Province Area Three, South Province Area Two, South Province Area Six
Tera Raid Battles: 2 Star Raid Battles"
149,Dugtrio,"Alfornada Cavern, Asado Desert, Dalizapa Passage, East Province Area Three, North Province Area Two, North Province Area Three, South Province Area Two
Static: South Province Area Six
Tera Raid Battles: 4 Star Raid Battles"
150,Torkoal,"East Province Area Three
Static: West Province Area One
Tera Raid Battles: 4 Star Raid Battles, 6 Star Raid Battles"
151,Numel,"Asado Desert
Tera Raid Battles: 3 Star Raid Battles"
152,Camerupt,"North Province Area Two
Tera Raid Battles: 5 Star Raid Battles"
153,Bronzor,"East Province Area Two, South Province Area Two, South Province Area Three, South Province Area Four, South Province Area Five, West Province Area One, West Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
154,Bronzong,"Casseroya Lake, Dalizapa Passage, Glaseado Mountain, North Province Area Two, South Province Area Six
Static: South Province Area Six
Tera Raid Battles: 5 Star Raid Battles"
155,Axew,"Dalizapa Passage, North Province Area One, South Province Area Three, South Province Area Five
Static: West Province Area One
Tera Raid Battles: 3 Star Raid Battles"
156,Fraxure,"Dalizapa Passage, North Province Area One
Tera Raid Battles: 4 Star Raid Battles"
157,Haxorus,"Evolve Fraxure
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
158,Mankey,"South Province Area One, South Province Area Five, West Province Area One
Static: West Province Area One
Tera Raid Battles: 2 Star Raid Battles"
159,Primeape,"North Province Area One, West Province Area One
Static: Glaseado Mountain, South Province Area Four, West Province Area One
Tera Raid Battles: 4 Star Raid Battles"
160,Annihilape,"Evolve Primeape
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
161,Meditite,"Alfornada Cavern, South Province Area Four, West Province Area Two
Static: South Province Area Six
Tera Raid Battles: 2 Star Raid Battles"
162,Medicham,"Alfornada Cavern
Static: South Province Area Six
Tera Raid Battles: 4 Star Raid Battles"
163,Riolu,"South Province Area Two, South Province Area Four
Static: North Province Area One, South Province Area Four
Tera Raid Battles: 3 Star Raid Battles"
164,Lucario,"North Province Area One, North Province Area Two
Static: Dalizapa Passage"
165,Charcadet,"Asado Desert, East Province Area One, East Province Area Two, East Province Area Three, South Province Area Three, South Province Area Four, South Province Area Five, Tagtree Thicket, West Province Area One, West Province Area Two, West Province Area Three
Static: South Province Area Three, South Province Area Five, West Province Area One
Tera Raid Battles: 1 Star Raid Battles, 3 Star Raid Battles"
166,Armarouge,"Evolve Charcadet
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
167,Ceruledge,"Evolve Charcadet
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
168,Barboach,"East Province Area Three, South Province Area Two, South Province Area Four, South Province Area Five, Tagtree Thicket, West Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
169,Whiscash,"Glaseado Mountain, North Province Area One, South Province Area Six, Tagtree Thicket, West Province Area Three
Tera Raid Battles: 4 Star Raid Battles"
170,Tadbulb,"East Province Area Two, East Province Area Three, Glaseado Mountain, South Province Area One, South Province Area Two, South Province Area Three, South Province Area Four, South Province Area Five, West Province Area Two
Static: East Province Area One
Tera Raid Battles: 1 Star Raid Battles"
171,Bellibolt,"East Province Area Three, Glaseado Mountain, North Province Area Three, South Province Area Four, Tagtree Thicket, West Province Area Two, West Province Area Three
Static: Casseroya Lake, South Province Area Six, Tagtree Thicket
Tera Raid Battles: 4 Star Raid Battles"
172,Goomy,"East Province Area Three, Glaseado Mountain, South Province Area One, South Province Area Three, South Province Area Four, South Province Area Five, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
173,Sliggoo,"Casseroya Lake
Static: South Province Area Four, West Province Area Three
Tera Raid Battles: 4 Star Raid Battles"
174,Goodra,"Evolve Sliggoo
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
175,Croagunk,"South Province Area Five, West Province Area Two
Tera Raid Battles: 2 Star Raid Battles"
176,Toxicroak,"Casseroya Lake
Tera Raid Battles: 4 Star Raid Battles"
177,Wattrel,"East Paldean Sea, East Province Area Two, South Paldean Sea, West Paldean Sea, West Province Area One
Static: East Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
178,Kilowattrel,"Casseroya Lake, East Paldean Sea, North Paldean Sea, North Province Area One, West Paldean Sea
Tera Raid Battles: 4 Star Raid Battles, 6 Star Raid Battles"
179,Eevee,"South Province Area Two, West Province Area Three
Static: South Province Area Five
Tera Raid Battles: 3 Star Raid Battles, 5 Star Raid Battles"
180,Vaporeon,"Casseroya Lake, Glaseado Mountain, North Province Area Two, North Province Area Three, South Province Area Six, Tagtree Thicket
Static: Casseroya Lake
Tera Raid Battles: 6 Star Raid Battles"
181,Jolteon,"Socarrat Trail, West Province Area Two
Static: West Province Area One
Tera Raid Battles: 6 Star Raid Battles"
182,Flareon,"Dalizapa Passage, North Province Area One, South Province Area Six
Static: South Province Area Five
Tera Raid Battles: 6 Star Raid Battles"
183,Espeon,"North Province Area Three, West Province Area Three
Static: East Province Area Three
Tera Raid Battles: 6 Star Raid Battles"
184,Umbreon,"Alfornada Cavern, Dalizapa Passage, North Province Area One, North Province Area Two, North Province Area Three
Static: South Province Area Six
Tera Raid Battles: 6 Star Raid Battles"
185,Leafeon,"Socarrat Trail, West Province Area Three
Static: South Province Area Four
Tera Raid Battles: 6 Star Raid Battles"
186,Glaceon,"Glaseado Mountain
Static: Glaseado Mountain
Tera Raid Battles: 6 Star Raid Battles"
187,Sylveon,"South Province Area Six, West Province Area Three
Static: North Province Area Three
Tera Raid Battles: 6 Star Raid Battles"
188,Dunsparce,"Alfornada Cavern, Area Zero, Asado Desert, Dalizapa Passage, East Province Area One, East Province Area Two, East Province Area Three, South Province Area One, South Province Area Three, South Province Area Four, South Province Area Five, South Province Area Six, Tagtree Thicket, West Province Area Two, West Province Area Three
Static: South Province Area Three, South Province Area Five, South Province Area Six, West Province Area Two
Tera Raid Battles: 1 Star Raid Battles, 3 Star Raid Battles"
189,Dudunsparce,"Area Zero
Tera Raid Battles: 4 Star Raid Battles"
190,Deerling,"Spring Form: South Province Area One, South Province Area Two, South Province Area Three, South Province Area Four, South Province Area Five Summer Form: East Province Area One, East Province Area Two Autumn Form: West Province Area Two, West Province Area Three Winter Form: Dalizapa Passage, Glaseado Mountain
Tera Raid Battles: 1 Star Raid Battles"
191,Sawsbuck,"Autumn Form: Socarrat Trail, West Province Area Three Winter Form: Dalizapa Passage, Glaseado Mountain, North Province Area One
Static: Glaseado Mountain
Tera Raid Battles: 4 Star Raid Battles"
192,Girafarig,"Area Zero, West Province Area Three
Static: West Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
193,Farigiraf,"Area Zero
Tera Raid Battles: 4 Star Raid Battles, 6 Star Raid Battles"
194,Grimer,"Cortondo, East Province Area Two
Tera Raid Battles: 2 Star Raid Battles"
195,Muk,"Evolve Grimer
Tera Raid Battles: 4 Star Raid Battles"
196,Maschiff,"South Province Area One, South Province Area Two, South Province Area Four, West Province Area Two, West Province Area Three
Static: South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
197,Mabosstiff,"West Province Area Three
Static: North Province Area Two
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
198,Toxel,"South Province Area One, South Province Area Two, South Province Area Four
Static: South Province Area Four
Tera Raid Battles: 1 Star Raid Battles"
199,Toxtricity,"Alfornada Cavern
Tera Raid Battles: 5 Star Raid Battles"
